DATE,PRODUCT_ID,CHANNEL_ID,REGION,UNITS_SOLD,REVENUE,DISCOUNT_PERCENT,PROMOTION_FLAG,STOCKOUT_FLAG,PRICE
2023-06-11,SKU_028,Amazon,Central,75,169200.0,0.2,0,0,2820
2023-02-16,SKU_050,Retail,Central,44,170776.32,0.22,0,1,4976
2023-01-04,SKU_005,Distributor,West,0,0.0,0.24,0,1,5288
2023-04-02,SKU_018,Distributor,East,56,67126.08,0.16,0,0,1427
2023-02-16,SKU_024,Flipkart,West,42,80815.56,0.06,1,1,2047
2023-05-21,SKU_012,Distributor,West,44,204025.8,0.05,1,0,4881
2023-01-25,SKU_044,Distributor,West,59,144756.5,0.3,1,1,3505
2023-05-27,SKU_023,Flipkart,East,46,219811.0,0.05,1,1,5030
2023-06-17,SKU_039,Distributor,South,54,50417.1,0.29,1,1,1315
2023-01-25,SKU_040,Flipkart,Central,9,23118.48,0.12,0,0,2919
2023-02-06,SKU_040,Retail,North,31,146395.94999999998,0.05,1,1,4971
2023-04-10,SKU_034,D2C,North,78,215616.96000000002,0.22,0,0,3544
2023-05-18,SKU_002,Distributor,North,49,109058.31999999999,0.14,1,1,2588
2023-05-24,SKU_021,D2C,Central,16,34873.44,0.03,0,1,2247
2023-03-03,SKU_045,Flipkart,West,28,56492.8,0.2,1,0,2522
2023-02-22,SKU_028,Retail,South,30,81149.09999999999,0.17,0,1,3259
2023-01-04,SKU_049,Flipkart,North,52,64368.2,0.05,0,0,1303
2023-01-05,SKU_046,Amazon,South,41,152523.28,0.09,0,0,4088
2023-02-13,SKU_007,Amazon,East,36,116341.2,0.15,1,0,3802
2023-04-02,SKU_012,D2C,North,50,140857.0,0.21,1,0,3566
2023-03-07,SKU_020,Distributor,West,59,139183.36000000002,0.24,1,0,3104
2023-03-20,SKU_005,Retail,West,44,175648.0,0.0,1,0,3992
2023-03-25,SKU_012,Retail,West,38,76092.72,0.18,1,1,2442
2023-01-21,SKU_011,Retail,South,41,201017.26,0.14,0,0,5701
2023-03-02,SKU_047,Distributor,North,56,124975.2,0.14,1,1,2595
2023-04-28,SKU_042,D2C,Central,49,41198.71,0.17,0,1,1013
2023-03-11,SKU_030,Retail,South,65,296023.64999999997,0.17,0,0,5487
2023-03-17,SKU_039,Amazon,North,27,73667.88,0.01,1,1,2756
2023-02-04,SKU_045,D2C,North,34,94108.6,0.11,0,0,3110
2023-04-27,SKU_001,Distributor,Central,65,285593.75,0.05,1,1,4625
2023-01-01,SKU_023,Distributor,North,33,57147.090000000004,0.09,0,0,1903
2023-06-09,SKU_012,Amazon,East,77,207803.75,0.15,0,0,3175
2023-04-23,SKU_028,D2C,North,78,230767.68,0.12,1,1,3362
2023-03-29,SKU_025,Amazon,Central,77,283427.76,0.16,1,0,4382
2023-03-09,SKU_012,Distributor,North,32,97701.12,0.01,1,1,3084
2023-06-27,SKU_023,Retail,North,51,215710.62,0.27,1,0,5794
2023-05-04,SKU_012,Amazon,East,40,69352.8,0.26,1,1,2343
2023-03-12,SKU_013,Distributor,Central,68,202341.47999999998,0.29,0,0,4191
2023-02-12,SKU_009,Distributor,South,84,162498.0,0.27,0,0,2650
2023-04-24,SKU_002,D2C,South,67,340591.14999999997,0.05,1,1,5351
2023-05-13,SKU_024,D2C,West,50,157762.5,0.25,0,1,4207
2023-01-15,SKU_031,Amazon,East,42,149951.76,0.18,1,1,4354
2023-02-06,SKU_012,Flipkart,West,62,66026.9,0.05,1,1,1121
2023-06-12,SKU_021,Retail,West,25,103870.0,0.06,1,1,4420
2023-04-01,SKU_024,Flipkart,North,60,291870.0,0.1,0,0,5405
2023-01-31,SKU_029,Flipkart,North,31,53005.04,0.12,1,1,1943
2023-06-05,SKU_026,Amazon,East,62,165345.32,0.14,1,0,3101
2023-01-14,SKU_006,Flipkart,North,46,202359.06000000003,0.19,1,0,5431
2023-06-16,SKU_033,Amazon,South,42,125895.84,0.11,1,1,3368
2023-05-01,SKU_018,Distributor,Central,32,52715.52,0.04,0,1,1716
2023-04-21,SKU_033,D2C,Central,42,89980.8,0.2,0,0,2678
2023-05-27,SKU_040,Flipkart,West,61,280128.47000000003,0.21,1,0,5813
2023-03-13,SKU_034,Flipkart,West,70,167059.2,0.12,1,0,2712
2023-05-15,SKU_047,D2C,Central,60,251658.00000000003,0.18,0,1,5115
2023-04-02,SKU_019,Amazon,Central,77,303287.6,0.14,1,1,4580
2023-02-04,SKU_015,Distributor,West,100,213678.0,0.19,0,1,2638
2023-01-16,SKU_050,Flipkart,South,43,137627.52,0.04,1,0,3334
2023-05-06,SKU_035,Flipkart,East,45,222235.2,0.08,0,0,5368
2023-06-09,SKU_045,Flipkart,East,21,85312.92,0.23,0,1,5276
2023-06-06,SKU_016,Retail,North,73,81392.08,0.23,1,1,1448
2023-05-08,SKU_011,Retail,North,75,195102.0,0.28,1,1,3613
2023-02-18,SKU_037,Distributor,East,32,73944.0,0.25,0,1,3081
2023-03-14,SKU_032,Flipkart,North,62,257487.86000000002,0.21,0,0,5257
2023-02-10,SKU_032,Amazon,East,74,246309.0,0.25,1,1,4438
2023-01-26,SKU_034,D2C,South,54,57931.2,0.28,1,1,1490
2023-05-02,SKU_018,Flipkart,Central,66,63423.36,0.04,0,0,1001
2023-03-17,SKU_004,Retail,West,53,78872.48,0.29,1,1,2096
2023-04-06,SKU_041,D2C,Central,25,23346.0,0.28,0,0,1297
2023-04-13,SKU_047,Distributor,South,70,154742.69999999998,0.07,0,0,2377
2023-04-11,SKU_025,Retail,South,76,248866.56,0.04,0,1,3411
2023-04-28,SKU_010,Amazon,North,64,139801.6,0.14,0,1,2540
2023-04-02,SKU_015,Amazon,North,30,127790.40000000001,0.21,0,1,5392
2023-02-20,SKU_008,Amazon,South,34,33868.42,0.29,0,1,1403
2023-01-15,SKU_027,D2C,North,27,55324.62,0.22,1,0,2627
2023-02-19,SKU_035,D2C,East,65,78861.9,0.27,0,0,1662
2023-02-01,SKU_045,Flipkart,South,75,108000.0,0.28,1,1,2000
2023-03-28,SKU_035,Distributor,West,58,280906.18,0.03,0,0,4993
2023-03-23,SKU_008,D2C,North,68,94860.0,0.07,1,0,1500
2023-03-11,SKU_038,Distributor,East,32,128177.28,0.01,0,1,4046
2023-01-16,SKU_039,Retail,North,52,226460.52,0.17,1,0,5247
2023-03-15,SKU_015,Amazon,South,22,24364.34,0.09,1,0,1217
2023-01-27,SKU_036,D2C,East,34,68176.8,0.28,0,1,2785
2023-01-20,SKU_037,Distributor,East,67,89083.20000000001,0.2,0,0,1662
2023-02-12,SKU_029,Distributor,West,45,239027.4,0.03,1,1,5476
2023-03-19,SKU_008,D2C,South,74,245809.5,0.25,1,1,4429
2023-01-08,SKU_032,D2C,East,60,210166.8,0.14,1,0,4073
2023-03-19,SKU_048,Distributor,Central,104,325104.0,0.25,0,0,4168
2023-01-05,SKU_035,Distributor,Central,51,192073.13999999998,0.02,1,0,3843
2023-02-05,SKU_011,Amazon,South,21,80512.74,0.26,1,1,5181
2023-03-28,SKU_017,Flipkart,North,49,117600.0,0.25,0,0,3200
2023-01-28,SKU_036,Retail,South,30,156182.4,0.04,0,0,5423
2023-05-29,SKU_001,Amazon,East,69,141190.56,0.28,1,1,2842
2023-06-21,SKU_045,Retail,West,50,195020.0,0.02,1,1,3980
2023-04-26,SKU_048,Distributor,West,47,54856.049999999996,0.07,1,1,1255
2023-04-30,SKU_006,Flipkart,South,47,208769.3,0.14,1,1,5165
2023-05-31,SKU_038,Flipkart,East,64,179631.36,0.07,1,0,3018
2023-02-04,SKU_024,Retail,East,40,108572.40000000001,0.19,0,0,3351
2023-03-07,SKU_029,Flipkart,North,65,290283.5,0.15,0,0,5254
2023-06-21,SKU_046,D2C,West,70,175784.0,0.27,0,1,3440
2023-02-27,SKU_021,D2C,South,43,150620.4,0.1,1,0,3892
2023-06-23,SKU_025,Amazon,West,31,94572.94,0.02,0,0,3113
2023-05-27,SKU_028,Flipkart,West,39,120115.31999999999,0.26,0,0,4162
2023-01-07,SKU_023,Retail,West,64,187349.76,0.22,1,1,3753
2023-06-15,SKU_002,Distributor,North,51,78135.56999999999,0.13,1,1,1761
2023-04-06,SKU_045,Amazon,North,62,180720.69999999998,0.03,0,1,3005
2023-04-13,SKU_007,D2C,East,85,352325.85,0.07,0,0,4457
2023-04-11,SKU_047,D2C,North,54,203629.13999999998,0.01,0,0,3809
2023-05-02,SKU_044,Amazon,Central,33,101177.67,0.21,1,0,3881
2023-01-10,SKU_019,Retail,North,71,167396.7,0.13,1,0,2710
2023-05-09,SKU_022,Distributor,South,51,103379.04000000001,0.18,1,0,2472
2023-02-09,SKU_032,Distributor,North,67,61562.28,0.24,1,0,1209
2023-06-01,SKU_032,Distributor,North,71,182715.66,0.13,0,1,2958
2023-01-09,SKU_005,Flipkart,East,30,85312.8,0.18,1,1,3468
2023-01-31,SKU_024,D2C,Central,77,347396.28,0.18,1,1,5502
2023-04-16,SKU_026,D2C,West,68,139536.0,0.28,0,0,2850
2023-05-01,SKU_010,Amazon,North,37,117736.96,0.12,0,0,3616
2023-02-24,SKU_041,Amazon,East,56,230958.0,0.25,0,1,5499
2023-01-13,SKU_033,Amazon,South,55,217286.85,0.13,0,0,4541
2023-06-15,SKU_038,Distributor,West,50,55338.0,0.08,0,1,1203
2023-06-16,SKU_013,D2C,Central,67,333639.9,0.1,1,1,5533
2023-04-04,SKU_038,Flipkart,Central,78,130278.72,0.12,1,1,1898
2023-06-23,SKU_006,Amazon,North,50,85054.0,0.08,1,0,1849
2023-04-13,SKU_032,Amazon,West,76,192223.76,0.14,0,0,2941
2023-05-26,SKU_028,D2C,North,69,237013.62000000002,0.18,0,1,4189
2023-04-21,SKU_046,Amazon,East,54,234363.78,0.17,0,1,5229
2023-02-14,SKU_019,D2C,Central,53,53873.969999999994,0.07,1,0,1093
2023-03-23,SKU_012,Distributor,West,26,19456.84,0.29,0,0,1054
2023-06-04,SKU_049,Retail,East,19,92996.64,0.01,1,1,4944
2023-05-10,SKU_009,Retail,South,53,121615.92,0.28,0,0,3187
2023-06-20,SKU_044,D2C,East,32,65070.72,0.22,0,1,2607
2023-04-23,SKU_034,Retail,East,49,155452.5,0.06,0,1,3375
2023-06-27,SKU_010,Flipkart,South,39,91662.09,0.03,1,0,2423
2023-03-27,SKU_012,Retail,Central,14,20896.12,0.26,0,1,2017
2023-05-14,SKU_043,Flipkart,South,57,109422.90000000001,0.21,1,1,2430
2023-02-02,SKU_040,Distributor,West,41,132348.0,0.2,0,0,4035
2023-02-02,SKU_027,Retail,East,51,256074.56999999998,0.07,1,0,5399
2023-02-20,SKU_010,Amazon,East,32,51726.72,0.13,0,0,1858
2023-06-14,SKU_028,Retail,North,43,206410.75,0.09,0,1,5275
2023-01-31,SKU_043,Amazon,North,81,246610.98,0.23,1,1,3954
2023-03-30,SKU_038,Amazon,West,52,197202.72,0.22,1,1,4862
2023-04-17,SKU_009,D2C,West,60,94827.0,0.27,1,0,2165
2023-01-22,SKU_010,Amazon,East,24,28793.28,0.11,1,1,1348
2023-03-22,SKU_010,Amazon,West,97,138562.56,0.04,0,1,1488
2023-01-19,SKU_029,Distributor,North,86,370242.04,0.02,0,0,4393
2023-06-24,SKU_032,Retail,North,77,201400.43,0.27,0,0,3583
2023-06-21,SKU_013,Distributor,North,66,324557.64,0.18,0,0,5997
2023-03-31,SKU_030,Distributor,South,50,157122.0,0.14,1,0,3654
2023-02-10,SKU_041,Flipkart,West,58,297727.92,0.02,1,1,5238
2023-04-25,SKU_015,Flipkart,West,70,109539.5,0.15,0,1,1841
2023-02-13,SKU_046,Retail,Central,37,118852.13999999998,0.07,1,0,3454
2023-02-24,SKU_014,Retail,South,41,203347.28999999998,0.07,0,1,5333
2023-03-04,SKU_021,Distributor,South,16,76497.28,0.11,0,0,5372
2023-01-13,SKU_001,Retail,East,34,139299.36,0.14,1,1,4764
2023-02-28,SKU_030,Retail,Central,83,303351.72,0.16,1,0,4351
2023-02-07,SKU_016,Flipkart,West,43,97248.8,0.12,1,0,2570
2023-04-12,SKU_006,Distributor,South,43,206565.12,0.04,1,1,5004
2023-05-04,SKU_038,Flipkart,South,56,229872.72,0.23,1,1,5331
2023-02-14,SKU_027,Flipkart,Central,17,15733.5,0.25,1,0,1234
2023-01-26,SKU_031,D2C,South,68,87031.84,0.02,1,0,1306
2023-03-19,SKU_029,Distributor,Central,75,318591.0,0.09,0,1,4668
2023-01-23,SKU_035,Retail,West,57,155718.3,0.15,1,1,3214
2023-03-11,SKU_007,Flipkart,Central,83,194817.6,0.28,1,0,3260
2023-04-27,SKU_029,Flipkart,North,23,89337.98,0.26,1,1,5249
2023-04-22,SKU_030,Distributor,North,86,328640.4,0.01,1,0,3860
2023-04-07,SKU_050,D2C,Central,35,115006.5,0.1,0,0,3651
2023-05-12,SKU_045,Amazon,North,24,111767.04,0.12,0,0,5292
2023-04-15,SKU_033,Amazon,South,45,112774.5,0.05,0,0,2638
2023-01-20,SKU_040,Amazon,East,87,227320.56,0.28,1,0,3629
2023-04-26,SKU_001,Distributor,North,49,38349.36,0.28,0,1,1087
2023-02-03,SKU_017,D2C,North,31,139671.74,0.14,0,0,5239
2023-01-18,SKU_041,Distributor,West,24,55789.92,0.14,0,1,2703
2023-03-17,SKU_004,Flipkart,Central,47,81943.56,0.13,1,1,2004
2023-04-30,SKU_049,Amazon,North,10,38475.0,0.1,1,1,4275
2023-06-27,SKU_028,Amazon,West,23,25138.08,0.12,1,0,1242
2023-03-04,SKU_040,Flipkart,East,80,302736.0,0.16,0,0,4505
2023-05-09,SKU_025,Amazon,North,76,313886.07999999996,0.17,0,1,4976
2023-04-23,SKU_005,Amazon,West,47,87229.18,0.29,0,1,2614
2023-06-16,SKU_027,Amazon,North,40,117388.8,0.04,1,1,3057
2023-05-19,SKU_045,Distributor,West,51,147308.4,0.13,1,0,3320
2023-05-31,SKU_022,Amazon,North,96,158262.72,0.23,1,0,2141
2023-03-12,SKU_042,D2C,West,58,223936.25999999998,0.27,0,0,5289
2023-06-19,SKU_009,Distributor,North,68,317107.12,0.18,0,0,5687
2023-03-11,SKU_039,Distributor,North,45,209457.0,0.15,0,0,5476
2023-06-27,SKU_008,Amazon,South,51,160572.99,0.27,1,1,4313
2023-06-16,SKU_039,Distributor,West,62,105010.64,0.08,1,0,1841
2023-03-24,SKU_040,Flipkart,West,52,138538.4,0.3,0,1,3806
2023-04-07,SKU_040,Distributor,South,12,43512.84,0.07,0,0,3899
2023-05-05,SKU_041,D2C,North,75,342967.5,0.1,1,0,5081
2023-02-17,SKU_004,Retail,North,37,70739.19,0.03,0,1,1971
2023-06-21,SKU_022,Amazon,West,92,150627.91999999998,0.29,0,0,2306
2023-02-23,SKU_040,Distributor,North,63,77924.7,0.07,0,1,1330
2023-06-07,SKU_020,Amazon,Central,51,137605.65,0.09,1,0,2965
2023-01-17,SKU_040,Distributor,North,58,216601.0,0.03,0,1,3850
2023-03-23,SKU_036,Retail,Central,47,191832.38,0.11,1,0,4586
2023-01-11,SKU_027,D2C,North,40,164859.2,0.24,1,0,5423
2023-01-17,SKU_036,Distributor,West,54,217188.54,0.13,0,1,4623
2023-03-22,SKU_045,Distributor,South,67,82946.67,0.13,1,1,1423
2023-02-23,SKU_041,Flipkart,North,40,40230.0,0.25,0,0,1341
2023-02-10,SKU_002,D2C,Central,37,88821.46,0.09,1,0,2638
2023-06-16,SKU_010,Distributor,East,42,127974.0,0.0,0,1,3047
2023-05-17,SKU_029,Flipkart,North,69,200486.40000000002,0.2,0,1,3632
2023-05-13,SKU_036,Flipkart,East,79,173199.6,0.1,1,1,2436
2023-04-07,SKU_005,Retail,West,57,84865.59,0.29,0,1,2097
2023-06-26,SKU_012,Amazon,East,61,188124.0,0.2,1,0,3855
2023-06-13,SKU_016,Retail,West,37,163271.75,0.05,1,0,4645
2023-03-09,SKU_018,Amazon,East,67,83014.34000000001,0.18,0,0,1511
2023-04-06,SKU_022,Retail,Central,61,137673.34,0.02,1,0,2303
2023-04-05,SKU_041,Amazon,South,35,128990.4,0.12,0,0,4188
2023-03-12,SKU_013,Retail,East,14,16002.0,0.1,0,1,1270
2023-04-23,SKU_039,Amazon,South,25,44477.25,0.07,0,0,1913
2023-04-22,SKU_019,Retail,Central,36,124689.23999999999,0.17,0,0,4173
2023-01-23,SKU_021,Retail,Central,73,245666.9,0.27,0,1,4610
2023-06-04,SKU_026,Distributor,Central,81,110706.75,0.23,0,0,1775
2023-01-05,SKU_038,Amazon,North,41,147032.15,0.15,1,0,4219
2023-01-06,SKU_021,Flipkart,West,41,150429.0,0.25,1,1,4892
2023-05-27,SKU_009,Amazon,West,55,50303.0,0.15,0,1,1076
2023-01-31,SKU_006,Retail,North,50,188297.0,0.14,1,1,4379
2023-03-29,SKU_040,D2C,North,68,67636.2,0.05,0,1,1047
2023-01-21,SKU_049,Amazon,West,39,31625.88,0.24,0,1,1067
2023-03-05,SKU_042,D2C,South,68,92572.48,0.09,0,0,1496
2023-02-04,SKU_019,Amazon,Central,45,150743.69999999998,0.07,1,0,3602
2023-05-26,SKU_049,Retail,East,67,242633.8,0.05,0,1,3812
2023-01-31,SKU_020,D2C,West,44,46983.2,0.05,0,1,1124
2023-01-23,SKU_049,Distributor,West,37,187012.06,0.06,1,0,5377
2023-01-08,SKU_045,Distributor,East,88,454460.16,0.13,0,1,5936
2023-02-25,SKU_021,Flipkart,North,71,355247.08,0.14,1,1,5818
2023-05-12,SKU_017,Flipkart,South,14,11380.74,0.21,1,1,1029
2023-03-23,SKU_032,Amazon,West,41,79320.23999999999,0.28,0,1,2687
2023-02-14,SKU_043,Amazon,West,74,194945.6,0.26,0,0,3560
2023-04-11,SKU_013,Distributor,West,26,57845.32,0.14,1,0,2587
2023-01-02,SKU_048,Retail,South,65,251624.1,0.22,0,0,4963
2023-02-25,SKU_016,D2C,West,63,59976.63,0.17,0,0,1147
2023-01-24,SKU_022,Amazon,South,36,126496.08,0.19,1,1,4338
2023-04-07,SKU_016,Retail,South,49,105081.48000000001,0.08,0,0,2331
2023-06-21,SKU_021,Amazon,North,8,26566.32,0.13,0,1,3817
2023-01-22,SKU_024,Amazon,West,85,329455.75,0.11,0,1,4355
2023-01-02,SKU_012,Flipkart,East,43,103528.52,0.08,1,1,2617
2023-02-10,SKU_002,D2C,Central,66,324516.72,0.17,1,1,5924
2023-02-01,SKU_014,Distributor,North,62,243939.0,0.14,1,0,4575
2023-06-23,SKU_022,Retail,East,77,306096.56,0.26,1,0,5372
2023-06-28,SKU_045,Retail,West,41,98010.5,0.3,1,1,3415
2023-05-06,SKU_033,D2C,South,54,148644.72,0.16,1,0,3277
2023-03-11,SKU_025,Flipkart,East,61,265719.66000000003,0.21,0,0,5514
2023-04-11,SKU_032,Flipkart,Central,67,392712.46,0.02,1,0,5981
2023-06-23,SKU_005,Amazon,North,73,184882.72,0.12,1,1,2878
2023-03-30,SKU_025,Retail,East,40,65950.4,0.06,1,1,1754
2023-06-17,SKU_034,Distributor,Central,36,37962.0,0.25,0,1,1406
2023-02-14,SKU_011,Distributor,East,77,207472.65,0.29,0,1,3795
2023-06-25,SKU_014,Retail,East,9,39609.0,0.25,1,1,5868
2023-03-04,SKU_012,D2C,Central,81,197597.88,0.13,0,0,2804
2023-03-11,SKU_031,Amazon,South,43,98369.81,0.23,1,0,2971
2023-05-29,SKU_031,Retail,East,49,148306.34,0.09,1,1,3326
2023-04-13,SKU_021,Flipkart,Central,36,31566.6,0.29,0,1,1235
2023-06-29,SKU_001,D2C,North,49,123788.7,0.3,0,0,3609
2023-02-24,SKU_050,Amazon,South,75,325069.5,0.17,1,0,5222
2023-03-31,SKU_049,Flipkart,Central,65,191380.8,0.04,0,1,3067
2023-05-14,SKU_026,Flipkart,South,59,207219.8,0.15,0,0,4132
2023-05-21,SKU_020,Distributor,North,51,145942.11,0.07,1,0,3077
2023-06-25,SKU_014,D2C,South,21,45475.92,0.16,1,1,2578
2023-03-07,SKU_042,Flipkart,East,33,126687.0,0.0,1,1,3839
2023-04-03,SKU_018,Retail,North,43,173926.40000000002,0.2,1,1,5056
2023-06-11,SKU_045,Retail,North,59,192375.4,0.3,0,0,4658
2023-06-13,SKU_029,Distributor,Central,51,69354.90000000001,0.1,1,0,1511
2023-01-26,SKU_050,Retail,Central,69,326142.99,0.13,0,1,5433
2023-03-02,SKU_009,D2C,West,59,63550.079999999994,0.28,1,1,1496
2023-03-05,SKU_038,Flipkart,East,51,128528.16,0.24,1,0,3316
2023-05-19,SKU_038,Distributor,West,95,200421.5,0.15,1,1,2482
2023-01-03,SKU_014,D2C,East,58,244296.0,0.1,1,0,4680
2023-01-18,SKU_012,Retail,West,41,54612.0,0.2,0,0,1665
2023-04-04,SKU_038,D2C,West,87,90546.12,0.02,0,1,1062
2023-01-21,SKU_033,Distributor,Central,74,131035.5,0.25,1,0,2361
2023-04-14,SKU_027,Amazon,West,86,205904.63999999998,0.13,1,1,2752
2023-06-11,SKU_014,Flipkart,West,47,45117.65,0.27,0,1,1315
2023-01-13,SKU_032,Retail,South,69,122047.2,0.12,0,1,2010
2023-01-26,SKU_015,D2C,West,20,42392.8,0.24,1,1,2789
2023-04-27,SKU_039,Distributor,East,65,203706.75,0.15,1,0,3687
